Region,Site,Latitude,Longitude,Elevation,Start Year,End Year,Age,Species Code,Plant Type,Family,Genus,Species,Climate Region (based on Aridity Index Value),EWCV,P50,Rooting Depth,Canopy Height,Tree Density,AWC,CEC,Ecological Memory,CV_PN_TMP,CV_EP_TMP,CV_PN_VPD,CV_EP_VPD,CV_PN_CWD,CV_EP_CWD,CV_PN_SR,CV_EP_SR,Nm,Pm,SLA
asia,russ100,65.3,69.68,35,1674,1991,317,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.168758868,-3.608966667,0.396734569,,197.9353448,1,34,0.208145596,0.118945632,0.370937885,0.494794393,0.161416729,0.333630332,0.542402731,0.050929194,0.037979726,24.7597966,3.05179433,33.54235152
asia,russ101,66.22,71.67,80,1740,1990,250,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.222011781,,0.183108263,13,14.70489608,1,104,,0.108894174,1.299074169,1.122306048,0.231909971,,,0.052818435,0.041969453,23.63164526,2.844472108,28.02684428
asia,russ102,67.25,153.7,50,1556,1991,435,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.254616616,,0.183108263,14,0,5,64,,0.032219802,0.848121507,0.379491594,0.131121017,0.266474308,0.155606369,0.058159496,0.010021716,24.88770303,3.899801565,27.99593815
asia,russ103,64.93,132.93,750,1564,1991,427,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.217274291,,0.183108263,18,33.42285513,6,78,,0.041874046,0.410807043,0.191091175,0.096766343,0.371123705,0.303014912,0.051629979,0.015441644,26.03067262,4.669418902,27.55351843
asia,russ104,60.38,57.12,140,1680,1991,311,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.157709088,,0.183108263,,742.7898169,1,45,0.331695255,0.156015805,0.130219465,0.69333451,0.131027245,0.23121036,0.619156721,0.05038193,0.01564803,13.26136878,1.7182855,6.857653098
asia,russ105,63.62,141.35,750,1583,1991,408,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.307620536,,0.183108263,19,12.64910631,3,37,0.266033585,0.035231139,1.644783951,0.233390612,0.117271117,0.352351968,0.460282282,0.048996694,0.016723158,25.99274949,4.782235037,29.43076558
asia,russ106,70.25,138.17,80,1550,1991,441,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.271233492,,0.183108263,13,145.2835883,1,34,,0.030921608,0.584496001,1.421647702,0.084262808,0.281087919,0.093837573,0.062650303,0.011936908,28.2510987,4.939014946,33.78532597
asia,russ107,68.8,163.05,300,1538,1991,453,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.264336318,,0.183108263,10,9.259479038,6,37,0.200941036,0.040301527,0.392863091,0.489163052,0.09296879,0.536769773,0.165467559,0.060309847,0.022421031,27.44292647,4.123499644,27.98002382
asia,russ108,63.65,133.78,200,1683,1992,309,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.235525293,,0.183108263,23,194.4787198,3,37,0.316796029,0.039899996,1.249520408,0.173164779,0.07761621,0.446374213,0.54894051,0.049813196,0.015637901,25.29568277,4.29908046,25.64930775
asia,russ109,63.65,133.78,200,1714,1991,277,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Arid,0.139839478,,0.183108263,23,194.4787198,3,37,0.18266848,0.039705616,1.248577091,0.173307717,0.078026419,0.447861136,0.540428126,0.050087478,0.015713392,25.29568277,4.29908046,25.64930775
asia,russ110,67.83,130.83,750,1669,1991,322,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.376028023,,0.183108263,19,53.0036394,1,104,0.178293684,0.040166374,0.973901781,0.229214695,0.108718957,0.287800157,0.227794822,0.058055991,0.013735924,26.54733685,4.610962064,28.67724652
asia,russ111,63.58,148.28,1000,1688,1991,303,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.280469486,,0,,30.22353839,1,104,,0.033237706,0.427590795,0.118716247,0.111389875,0.418638791,0.378021072,0.049913721,0.013758997,26.06370844,4.387107486,27.79523243
asia,russ112,62.22,129.35,270,1730,1991,261,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Arid,0.206272573,,0.183108263,20,279.0744552,3,37,0.15649206,0.055880239,0.125876103,0.889437782,0.102976437,0.275206493,0.216750523,0.047734458,0.015680844,16.85523625,2.341075996,14.05274239
asia,russ113,67.62,137.47,350,1565,1991,426,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.200745307,,0.183108263,18,383.4389203,1,104,,0.031698581,14.39363493,0.292770548,0.088697336,0.303583306,0.212687428,0.057932175,0.013443927,27.749433,5.465934648,32.1450143
asia,russ114,70.95,132.98,20,1496,1991,495,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.360126749,,0.183108263,,54.35896212,1,104,,0.033466512,0.468897575,1.716120031,0.103424922,0.279044887,0.101884349,0.065131895,0.013337729,28.01222037,4.763099835,32.24196352
asia,russ115,60.27,29.58,20,1757,1990,233,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.1752386,,0.183108263,,854.5222796,6,78,,0.424195434,0.104590504,0.248834965,0.136170459,0.270276906,0.344563063,0.045835412,0.010478034,15.22538978,1.633592094,8.228142577
asia,russ116,60.38,57.12,140,1717,1991,274,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.131239164,-3.608966667,0.183108263,,742.7898169,1,45,0.222565148,0.156015805,0.130219465,0.69333451,0.131027245,0.23121036,0.619156721,0.05038193,0.01564803,13.26136878,1.7182855,6.857653098
asia,russ117,60.38,57.12,140,1730,1991,261,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.213376975,,0.183108263,,742.7898169,1,45,0.290373771,0.156015805,0.130219465,0.69333451,0.131027245,0.23121036,0.619156721,0.05038193,0.01564803,13.26136878,1.7182855,6.857653098
asia,russ118,54.88,58.88,990,1671,1993,322,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.140513236,-3.608966667,0.808728161,21,896.8015239,6,21,0.270987068,0.164882815,0.097926651,0.272790444,0.141023089,0.345903431,0.492014734,0.043579651,0.012268953,16.56535377,1.620424942,10.59208168
asia,russ119,65.6,50.63,70,1603,1990,387,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.240234174,,0.32043946,13,72.36920073,6,78,,0.167105997,0.271966569,0.642844701,0.179141824,0.227248634,0.456383716,0.052371561,0.010844939,13.33442721,1.81131663,6.166367134
asia,russ120,61.27,59.33,670,1703,1993,290,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.209422433,,0.671396963,17,265.2479038,5,64,0.233093912,0.117779416,0.220565438,0.228350003,0.097157115,0.289502409,1.646537095,0.049313096,0.018763085,12.82659116,1.567653729,5.742828815
asia,russ121,64.53,31.03,225,1578,1992,414,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.134089452,-3.608966667,0.427252613,,633.8055401,3,78,,0.223598319,0.143589876,0.443318398,0.134573982,0.270996175,0.460334893,0.050663978,0.010194533,13.72967909,1.615731694,7.44801354
asia,russ122,66.08,77.68,50,1780,1990,210,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.291317399,,0.183108263,,0,1,45,0.363354196,0.114452925,0.565189323,0.662436247,0.169225306,0.290468127,0.624976069,0.052925085,0.031506393,24.39566278,3.020578589,31.535941
asia,russ123,65.45,60.58,400,1588,1990,402,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.391231796,,0.183108263,,387.534026,1,36,0.201818802,0.132241029,0.414862194,0.516977298,0.164726869,0.243243395,0.753713394,0.051978113,0.022486818,20.15596424,2.359344324,18.38272006
asia,russ124,71.33,93.83,60,1569,1990,421,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Humid,0.385148127,,0.183108263,,50.85552428,1,104,0.159806417,0.065007032,0.795275994,1.634191495,0.147518517,0.20652422,0.435843514,0.066732646,0.032911982,27.58574471,3.744777478,35.47756601
asia,russ125,66.98,30.25,200,1699,1992,293,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.168574349,-3.608966667,0.366216526,17,588.1385628,1,89,0.318368241,0.164497692,0.186460262,0.25564903,0.127041802,0.230841655,0.802036842,0.053165389,0.011141486,16.44596903,1.706495915,13.32030732
asia,russ126,67.47,167.67,450,1432,1991,559,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.341475656,,0.183108263,16,23.99529152,1,64,,0.058711988,0.300892414,0.187216498,0.213636275,0.831564526,0.44574572,0.057435404,0.027795123,26.99022566,4.268403759,30.18698643
asia,russ127,50.15,85.37,1750,1581,1994,413,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.200035913,,1.20546273,17,79.08475389,6,21,0.297330328,0.106901167,0.147146451,0.097962451,0.150484147,0.683444235,0.621791413,0.03289271,0.012096836,17.70848044,2.045726193,13.8858964
asia,russ128,71.22,127.43,40,1391,1990,599,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Humid,0.358042723,,0.183108263,,349.9523124,,0,,0.037597842,0.903756524,0.961812628,0.096969813,0.255058539,0.159561103,0.067325302,0.008088573,27.33394269,4.75354344,31.95240065
